Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,970.3369,0.64
2,256³,521.3275,1.19
3,256³,385.2223,1.62
4,256³,282.1924,2.21
5,256³,242.0238,2.57
6,256³,211.9109,2.94
7,256³,184.2263,3.38
8,256³,172.5583,3.61
9,256³,150.9751,4.13
10,256³,162.8646,3.82
11,256³,142.6520,4.37
12,256³,165.9684,3.75
13,256³,128.3177,4.85
14,256³,131.7102,4.73
15,256³,117.3130,5.31
16,256³,149.5963,4.16
17,256³,116.4172,5.35
18,256³,137.6851,4.52
19,256³,106.8558,5.83
20,256³,116.8397,5.33
21,256³,105.9679,5.88
22,256³,106.1490,5.87
23,256³,104.0445,5.99
24,256³,117.2369,5.31
25,256³,99.4190,6.26
26,256³,100.3948,6.20
27,256³,102.1376,6.10
28,256³,108.7626,5.73
29,256³,95.9733,6.49
30,256³,84.2237,7.40
31,256³,85.4473,7.29
32,256³,138.8897,4.48
33,256³,93.8878,6.63
34,256³,99.3074,6.27
35,256³,86.0759,7.24
36,256³,96.1000,6.48
37,256³,88.4894,7.04
38,256³,94.1590,6.61
39,256³,96.4804,6.46
40,256³,108.1885,5.76
