Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,1156.8775,0.27
2,256³,612.8223,0.51
3,256³,392.2947,0.80
4,256³,338.2758,0.92
5,256³,247.0675,1.26
6,256³,230.0581,1.36
7,256³,185.8624,1.68
8,256³,204.0200,1.53
9,256³,150.8752,2.07
10,256³,190.8038,1.64
11,256³,132.1181,2.37
12,256³,160.4327,1.95
13,256³,117.5543,2.66
14,256³,142.7581,2.19
15,256³,116.5762,2.68
16,256³,176.5941,1.77
17,256³,116.6420,2.68
18,256³,145.5615,2.15
19,256³,108.9222,2.87
20,256³,146.8395,2.13
21,256³,107.6392,2.90
22,256³,131.0322,2.38
23,256³,102.5064,3.05
24,256³,131.8020,2.37
25,256³,100.9960,3.09
26,256³,118.0866,2.65
27,256³,97.3957,3.21
28,256³,111.9961,2.79
29,256³,89.5340,3.49
30,256³,72.9554,4.28
31,256³,64.6509,4.83
32,256³,179.3567,1.74
33,256³,82.8010,3.77
34,256³,87.6671,3.56
35,256³,64.2856,4.86
36,256³,138.0832,2.26
37,256³,81.4422,3.84
38,256³,90.6874,3.45
39,256³,57.1085,5.47
40,256³,127.5958,2.45
