Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,32³,0.1276,2.55
2,32³,0.0740,4.40
3,32³,0.0539,6.04
4,32³,0.0432,7.54
5,32³,0.0442,7.35
6,32³,0.0432,7.53
7,32³,0.0401,8.10
8,32³,0.0361,9.01
9,32³,0.0382,8.53
10,32³,0.0420,7.72
11,32³,0.0378,8.61
12,32³,0.0384,8.49
13,32³,0.0394,8.23
14,32³,0.0387,8.41
15,32³,0.0397,8.16
16,32³,0.0371,8.79
17,32³,0.0415,7.81
18,32³,0.0401,8.08
19,32³,0.0403,8.07
20,32³,0.0404,8.07
21,32³,0.0477,6.79
22,32³,0.0473,6.83
23,32³,0.0502,6.44
24,32³,0.0499,6.47
25,32³,0.0504,6.40
26,32³,0.0473,6.89
27,32³,0.0478,6.81
28,32³,0.0504,6.40
29,32³,0.0498,6.53
30,32³,0.0505,6.38
31,32³,0.0478,6.81
32,32³,0.0457,7.13
33,32³,0.0596,5.46
34,32³,0.0623,5.17
35,32³,0.0569,5.73
36,32³,0.0643,5.01
37,32³,0.0606,5.38
38,32³,0.0612,5.26
39,32³,0.0629,5.11
40,32³,0.0605,5.38
