Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,19.6954,1.65
2,128³,10.1067,3.59
3,128³,6.7033,4.99
4,128³,5.2113,6.42
5,128³,4.1661,8.64
6,128³,3.7719,8.94
7,128³,3.1230,11.19
8,128³,2.7014,13.42
9,128³,2.5249,13.48
10,128³,2.4403,15.35
11,128³,1.9911,18.07
12,128³,1.9946,16.78
13,128³,1.7808,18.91
14,128³,1.8272,18.42
15,128³,1.6363,21.98
16,128³,1.5744,23.02
17,128³,1.4990,23.32
18,128³,1.5806,21.27
19,128³,1.3507,25.16
20,128³,1.3820,26.22
21,128³,1.3102,25.65
22,128³,1.3371,27.10
23,128³,1.2770,26.73
24,128³,1.4774,23.12
25,128³,1.1824,28.52
26,128³,1.3693,26.28
27,128³,1.2289,27.53
28,128³,1.2611,26.53
29,128³,1.2116,29.62
30,128³,1.2403,27.31
31,128³,1.3753,24.57
32,128³,1.4199,25.34
33,128³,1.2490,26.96
34,128³,1.3537,25.83
35,128³,1.2928,27.83
36,128³,1.3077,25.83
37,128³,1.3455,25.16
38,128³,1.2200,27.42
39,128³,1.1886,28.25
40,128³,1.2127,29.67
