Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
10,64³,0.3244,11.97
11,64³,0.2972,11.99
12,64³,0.2987,13.00
13,64³,0.2803,11.61
14,64³,0.2697,12.54
15,64³,0.2733,14.09
16,64³,0.5275,6.40
17,64³,0.2772,13.29
18,64³,0.2497,13.49
19,64³,0.2530,13.31
20,64³,0.2582,15.04
21,64³,0.2783,12.11
22,64³,0.2343,16.57
23,64³,0.2400,16.08
24,64³,0.2404,16.15
25,64³,0.2559,12.68
26,64³,0.2568,12.63
27,64³,0.3416,9.51
28,64³,0.2710,14.33
29,64³,0.3078,10.54
30,64³,0.2672,14.53
31,64³,0.2569,13.30
32,64³,0.2738,11.85
33,64³,0.2475,15.63
34,64³,0.2497,15.55
35,64³,0.3505,9.62
36,64³,0.3459,9.38
37,64³,0.2471,15.66
38,64³,0.3568,9.09
39,64³,0.2657,12.21
40,64³,0.2514,15.41
