Threads,PlanTime(sec)
1,261.132578
2,586.000759
3,916.454034
4,602.280261
5,864.333002
6,852.383418
7,778.565977
8,626.173139
9,846.045015
10,831.806454
11,803.328642
12,803.772234
13,780.960617
14,839.344749
15,724.744191
16,658.057693
17,875.291443
18,877.167948
19,846.696104
20,926.286673
21,944.029436
22,854.197543
23,934.416271
24,927.570936
25,934.720382
26,889.024714
27,987.453924
28,979.333252
29,962.929477
30,923.360499
31,928.768735
32,794.757334
33,1058.214426
34,1016.006313
35,1019.462635
36,1088.897602
37,1036.855481
38,1093.922964
39,1113.481686
40,1092.662834
