Threads,PlanTime(sec)
1,1318.830983
2,2964.989606
3,4899.237980
4,2845.694298
5,4436.699406
6,4032.569093
7,3816.708098
8,2809.464286
9,3967.764910
10,3857.083845
11,3719.888469
12,594.540854
13,649.307095
14,644.837176
15,597.004242
16,622.039026
17,597.078470
18,542.549547
19,611.319020
20,628.664712
21,689.113715
22,573.934041
23,648.018196
24,602.985518
25,699.933198
26,620.299909
27,673.156084
28,692.469171
29,638.964958
30,677.126987
31,678.094433
32,697.006543
33,602.446262
34,651.993146
35,651.257540
36,619.820889
37,646.134195
38,683.780381
39,705.091221
40,700.009018
