Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,1.2255,1.32
2,64³,0.7149,2.27
3,64³,0.4743,4.59
4,64³,0.3630,5.96
5,64³,0.3658,5.91
6,64³,0.3494,5.45
7,64³,0.2674,10.13
8,64³,0.2382,9.08
9,64³,0.2529,6.41
10,64³,0.2382,8.06
11,64³,0.3510,5.19
12,64³,0.2082,9.34
13,64³,0.1937,8.83
14,64³,0.2907,6.31
15,64³,0.2027,9.40
16,64³,0.1578,10.70
17,64³,0.1974,9.10
18,64³,0.1896,11.88
19,64³,0.1764,9.57
20,64³,0.1867,11.22
21,64³,0.2064,8.18
22,64³,0.2177,10.45
23,64³,0.1890,9.60
24,64³,0.1907,10.08
25,64³,0.1865,8.97
26,64³,0.1771,14.31
27,64³,0.1891,8.94
28,64³,0.1914,13.61
29,64³,0.1856,11.68
30,64³,0.1958,9.21
31,64³,0.1945,13.03
32,64³,0.2016,8.49
33,64³,0.2000,9.97
34,64³,0.2111,8.22
35,64³,0.1967,12.58
36,64³,0.1890,10.27
37,64³,0.2021,10.31
38,64³,1.7810,0.91
39,64³,0.2004,9.66
40,64³,0.1981,8.83
