Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,21.3538,1.46
2,128³,11.1591,2.79
3,128³,9.4445,3.30
4,128³,5.7189,5.45
5,128³,5.9780,5.21
6,128³,4.9738,6.22
7,128³,4.2909,7.21
8,128³,3.1014,10.05
9,128³,2.8769,10.83
10,128³,2.5677,16.18
11,128³,2.2409,13.91
12,128³,2.3186,13.44
13,128³,2.0194,20.18
14,128³,2.0789,15.34
15,128³,1.9696,15.82
16,128³,1.8259,17.07
17,128³,1.7611,17.67
18,128³,1.7918,17.70
19,128³,1.7220,18.09
20,128³,1.5379,20.26
21,128³,1.5002,27.37
22,128³,1.4890,20.88
23,128³,1.5580,19.99
24,128³,1.6615,19.00
25,128³,1.5304,20.36
26,128³,1.6055,19.40
27,128³,1.6147,19.29
28,128³,1.4215,21.92
29,128³,1.4357,28.69
30,128³,1.5270,20.40
31,128³,1.5574,20.00
32,128³,1.6474,18.92
33,128³,1.5662,26.34
34,128³,1.6277,19.12
35,128³,1.5252,27.06
36,128³,1.5598,19.98
37,128³,1.6924,18.40
38,128³,1.7006,18.32
39,128³,1.7028,18.29
40,128³,1.4775,21.06
