Threads,PlanTime(sec)
1,23.864121
2,37.489751
3,54.121211
4,31.773577
5,47.391522
6,47.192039
7,41.375543
8,29.746461
9,39.166544
10,38.556899
11,38.467993
12,37.050175
13,36.803827
14,35.980900
15,37.036501
16,26.870501
17,35.900391
18,33.503816
19,36.046196
20,33.272411
21,35.054676
22,31.158403
23,31.182021
24,31.002881
25,30.132458
26,32.296864
27,31.654368
28,30.916150
29,28.394101
30,29.296076
31,31.169674
32,25.062714
33,26.346146
34,28.754768
35,28.353263
36,26.900823
37,28.251315
38,28.707882
39,27.718710
40,25.833744
