Threads,PlanTime(sec)
1,20.593760
2,33.173837
3,53.596531
4,29.794375
5,54.397448
6,52.197489
7,36.383424
8,24.473693
9,32.413358
10,35.349506
11,28.973629
12,30.160271
13,32.100174
14,31.406830
15,35.197963
16,21.341101
17,33.961450
18,26.572294
19,28.904630
20,26.351382
21,28.952342
22,25.472769
23,26.404623
24,26.983981
25,25.314911
26,31.330416
27,27.784833
28,30.274743
29,24.069304
30,29.389335
31,29.854552
32,21.003991
33,24.768131
34,27.701489
35,23.592911
36,25.593999
37,25.992922
38,28.026198
39,25.200061
40,24.917262
