Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,161.4667,1.23
2,256³,82.7500,2.17
3,256³,59.8992,3.28
4,256³,42.9779,4.23
5,256³,39.9761,4.91
6,256³,38.1021,4.74
7,256³,34.7191,5.92
8,256³,21.7737,9.02
9,256³,20.0081,8.97
10,256³,18.9990,9.57
11,256³,16.8609,11.78
12,256³,20.3988,8.91
13,256³,14.8310,12.26
14,256³,14.3670,13.68
15,256³,13.9016,13.24
16,256³,13.1399,15.03
17,256³,12.4387,15.80
18,256³,18.2480,10.89
19,256³,11.5015,17.17
20,256³,12.6694,15.51
21,256³,11.1731,17.58
22,256³,10.8888,18.04
23,256³,10.8896,16.69
24,256³,10.5910,18.55
25,256³,10.2206,17.67
26,256³,10.0722,19.73
27,256³,9.6260,20.52
28,256³,10.1914,19.38
29,256³,9.8095,20.03
30,256³,10.1507,19.58
31,256³,9.4540,21.02
32,256³,9.7674,18.61
33,256³,9.1932,21.37
34,256³,9.3186,21.08
35,256³,9.2830,21.41
36,256³,9.6997,20.26
37,256³,8.6614,20.73
38,256³,9.8147,20.02
39,256³,9.3063,21.11
40,256³,11.0461,17.99
