Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,19.2146,1.74
2,128³,10.0085,3.34
3,128³,6.7909,4.93
4,128³,5.1565,6.49
5,128³,4.2261,8.07
6,128³,3.7118,9.66
7,128³,3.1258,10.91
8,128³,2.7854,12.01
9,128³,2.4909,13.56
10,128³,2.4697,14.58
11,128³,2.0261,17.64
12,128³,1.9932,16.28
13,128³,1.8218,18.59
14,128³,1.8692,18.29
15,128³,1.6552,20.30
16,128³,1.5726,21.27
17,128³,1.5250,23.50
18,128³,1.5533,22.09
19,128³,1.3848,24.45
20,128³,1.4146,25.43
21,128³,1.3664,26.52
22,128³,1.2639,28.47
23,128³,1.2683,26.91
24,128³,1.3307,25.67
25,128³,1.4886,22.48
26,128³,1.2505,27.41
27,128³,1.2155,27.54
28,128³,1.2322,27.17
29,128³,1.1662,28.83
30,128³,1.2152,27.88
31,128³,1.2080,27.86
32,128³,1.3630,24.55
33,128³,1.2155,29.54
34,128³,1.2657,28.63
35,128³,1.2232,29.63
36,128³,1.2356,29.33
37,128³,1.2455,26.92
38,128³,1.2221,27.38
39,128³,1.1907,28.96
40,128³,1.3220,27.22
