Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,32³,0.1707,1.91
2,32³,0.1219,2.67
3,32³,0.0991,3.29
4,32³,0.0823,3.95
5,32³,0.0804,4.05
6,32³,0.0752,4.32
7,32³,0.0702,4.63
8,32³,0.0609,5.35
9,32³,0.0615,5.30
10,32³,0.0607,5.35
11,32³,0.0568,5.73
12,32³,0.0549,5.93
13,32³,0.0593,5.47
14,32³,0.0541,6.02
15,32³,0.0550,5.89
16,32³,0.0500,6.51
17,32³,0.0525,6.17
18,32³,0.0523,6.19
19,32³,0.0519,6.27
20,32³,0.0502,6.48
21,32³,0.0585,5.53
22,32³,0.0579,5.59
23,32³,0.0561,5.76
24,32³,0.0585,5.53
25,32³,0.0598,5.40
26,32³,0.0579,5.62
27,32³,0.0549,5.93
28,32³,0.0841,3.84
29,32³,0.0585,5.57
30,32³,0.0603,5.35
31,32³,0.0627,5.19
32,32³,0.0638,5.10
33,32³,0.0635,5.13
34,32³,0.0654,4.93
35,32³,0.0615,5.30
36,32³,0.0647,4.98
37,32³,0.0637,5.11
38,32³,0.0669,4.81
39,32³,0.0668,4.81
40,32³,0.0609,5.34
