Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,119.6347,1.35
2,256³,61.6124,2.63
3,256³,47.5748,3.76
4,256³,32.2459,5.02
5,256³,27.0729,6.49
6,256³,23.9890,7.05
7,256³,19.8512,8.47
8,256³,17.3953,9.30
9,256³,15.8449,10.21
10,256³,15.7587,11.19
11,256³,13.5939,11.91
12,256³,13.5634,12.03
13,256³,12.1799,13.32
14,256³,12.2937,13.18
15,256³,11.4651,15.39
16,256³,11.0701,14.71
17,256³,10.7022,15.80
18,256³,10.8230,15.69
19,256³,10.2053,17.21
20,256³,11.4975,15.32
21,256³,9.8711,16.42
22,256³,9.8805,17.11
23,256³,9.3310,18.60
24,256³,9.8679,17.16
25,256³,9.3877,18.79
26,256³,9.0565,18.74
27,256³,8.8106,18.36
28,256³,9.3001,18.20
29,256³,8.5859,20.75
30,256³,8.7986,19.89
31,256³,8.4824,20.03
32,256³,8.9257,18.12
33,256³,7.7759,20.98
34,256³,7.4655,23.59
35,256³,8.6111,19.69
36,256³,8.9760,18.86
37,256³,8.4271,19.24
38,256³,8.6638,20.33
39,256³,8.7220,19.44
40,256³,6.9393,25.41
