Threads,PlanTime(sec)
1,4.224902
2,9.944670
3,12.279941
4,9.514905
5,12.024878
6,11.669318
7,10.806795
8,8.774589
9,12.614907
10,10.768321
11,10.782276
12,12.730645
13,10.363507
14,12.744391
15,11.847649
16,8.736279
17,12.470790
18,12.288186
19,12.240815
20,12.280009
21,13.256037
22,10.519361
23,13.640352
24,13.474262
25,13.244307
26,13.300784
27,13.964297
28,13.993738
29,13.439803
30,13.697519
31,13.017133
32,10.115846
33,13.594643
34,14.064569
35,14.350362
36,14.602407
37,13.825385
38,13.977882
39,14.486021
40,14.630096
