Threads,PlanTime(sec)
1,19.045051
2,41.216152
3,48.221123
4,36.358633
5,46.825823
6,44.730555
7,41.620066
8,33.529676
9,45.590926
10,43.788577
11,39.535356
12,41.392262
13,40.690853
14,47.590796
15,37.067542
16,32.611836
17,44.865140
18,46.368313
19,42.336857
20,52.344358
21,53.901808
22,41.640551
23,53.030554
24,52.603768
25,52.037050
26,44.619471
27,56.830051
28,54.708645
29,52.584691
30,54.654938
31,53.536524
32,38.079719
33,52.919343
34,52.113393
35,53.900760
36,52.818700
37,54.529585
38,54.493548
39,56.747745
40,58.564516
