Threads,PlanTime(sec)
1,42.552903
2,80.506572
3,86.380561
4,62.494482
5,71.803398
6,67.205013
7,62.745394
8,53.133412
9,61.080800
10,61.088507
11,59.869829
12,59.303448
13,59.333975
14,65.175751
15,54.878451
16,48.434674
17,61.809668
18,61.567286
19,55.623111
20,61.607823
21,64.372454
22,56.250797
23,65.342283
24,65.392927
25,64.648405
26,57.557475
27,67.717137
28,65.936282
29,65.534696
30,66.171099
31,66.157530
32,56.178503
33,69.274966
34,70.017163
35,68.223436
36,70.240750
37,71.903775
38,71.043839
39,72.550844
40,72.054720
