Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,1.2321,1.76
2,64³,0.6988,2.32
3,64³,0.4751,4.58
4,64³,0.3651,5.92
5,64³,0.3678,5.88
6,64³,0.3615,6.31
7,64³,0.3161,6.95
8,64³,0.2641,8.19
9,64³,0.2561,8.45
10,64³,0.2521,9.50
11,64³,0.2502,8.99
12,64³,0.2308,10.37
13,64³,0.2090,10.19
14,64³,0.2355,9.69
15,64³,0.2231,10.67
16,64³,0.1833,11.80
17,64³,0.2107,8.78
18,64³,0.1898,11.39
19,64³,0.1834,9.34
20,64³,0.2004,10.57
21,64³,0.2002,10.80
22,64³,0.2123,10.74
23,64³,0.1993,11.52
24,64³,0.5902,4.33
25,64³,0.1897,11.45
26,64³,0.1888,13.19
27,64³,0.1935,11.17
28,64³,0.2049,12.47
29,64³,0.1882,10.36
30,64³,0.2080,10.94
31,64³,0.2087,12.19
32,64³,0.2089,10.35
33,64³,0.1995,12.71
34,64³,0.2228,10.21
35,64³,0.2048,12.09
36,64³,0.1910,13.00
37,64³,0.2029,12.49
38,64³,0.1941,11.14
39,64³,0.1976,12.54
40,64³,0.9084,2.52
