FFT,SizeTotal,Runtime(ms),AvgRuntime(ms),Throughput(GFLOPS)
fftw,128³,377615.253839,37.761525,5.831358
fftw,128³,202228.729401,20.222873,10.888708
fftw,128³,157260.507525,15.726051,14.002305
fftw,128³,112102.727908,11.210273,19.642784
fftw,128³,87532.178013,8.753218,25.156573
fftw,128³,65597.414571,6.559741,33.568543
fftw,128³,62430.965496,6.243097,35.271112
fftw,128³,54833.156192,5.483316,40.158360
fftw,128³,49266.722768,4.926672,44.695678
fftw,128³,49041.027872,4.904103,44.901375
fftw,128³,40855.840261,4.085584,53.897058
fftw,128³,38394.352417,3.839435,57.352435
fftw,128³,34108.810819,3.410881,64.558381
fftw,128³,40110.775696,4.011078,54.898205
fftw,128³,32335.587144,3.233559,68.098643
fftw,128³,29607.016667,2.960702,74.374586
fftw,128³,27172.504863,2.717250,81.038153
fftw,128³,27657.246324,2.765725,79.617818
fftw,128³,26362.668312,2.636267,83.527569
fftw,128³,25837.870959,2.583787,85.224112
fftw,128³,24032.399755,2.403240,91.626705
fftw,128³,23840.496061,2.384050,92.364253
fftw,128³,21483.557386,2.148356,102.497438
fftw,128³,23009.907840,2.300991,95.698323
fftw,128³,21241.313235,2.124131,103.666359
fftw,128³,20730.173577,2.073017,106.222439
fftw,128³,18981.083566,1.898108,116.010743
fftw,128³,18899.100386,1.889910,116.513990
fftw,128³,23862.260158,2.386226,92.280010
fftw,128³,20521.932712,2.052193,107.300303
fftw,128³,18616.684451,1.861668,118.281513
fftw,128³,19661.405373,1.966141,111.996552
fftw,128³,19064.002647,1.906400,115.506153
fftw,128³,17028.163366,1.702816,129.315743
fftw,128³,16645.048412,1.664505,132.292172
fftw,128³,21468.950822,2.146895,102.567173
fftw,128³,16429.481436,1.642948,134.027943
fftw,128³,16938.397769,1.693840,130.001056
fftw,128³,15292.757091,1.529276,143.990360
fftw,128³,15402.775163,1.540278,142.961874
