FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
32³,2.0259,0.2026,12.1306
32³,1.2230,0.1223,20.0954
32³,0.9131,0.0913,26.9141
32³,0.7466,0.0747,32.9162
32³,0.6921,0.0692,35.5087
32³,0.6627,0.0663,37.0868
32³,0.6419,0.0642,38.2840
32³,0.6059,0.0606,40.5603
32³,0.7188,0.0719,34.1919
32³,0.6893,0.0689,35.6522
32³,0.6598,0.0660,37.2470
32³,0.7742,0.0774,31.7430
32³,0.7858,0.0786,31.2740
32³,0.8467,0.0847,29.0265
32³,0.8514,0.0851,28.8642
32³,0.7095,0.0709,34.6386
32³,0.9521,0.0952,25.8130
32³,0.9250,0.0925,26.5691
32³,0.9615,0.0961,25.5613
32³,0.9973,0.0997,24.6431
32³,1.0753,0.1075,22.8556
32³,1.0458,0.1046,23.4991
32³,1.0384,0.1038,23.6673
32³,1.0548,0.1055,23.2996
32³,1.1650,0.1165,21.0945
32³,1.1070,0.1107,22.2015
32³,1.1061,0.1106,22.2191
32³,1.1101,0.1110,22.1380
32³,1.1697,0.1170,21.0104
32³,1.1810,0.1181,20.8092
32³,1.2392,0.1239,19.8321
32³,1.0208,0.1021,24.0763
32³,1.5817,0.1582,15.5377
32³,1.5253,0.1525,16.1121
32³,1.6387,0.1639,14.9977
32³,1.5873,0.1587,15.4832
32³,1.6787,0.1679,14.6397
32³,1.6006,0.1601,15.3545
32³,1.8593,0.1859,13.2179
32³,1.6984,0.1698,14.4700
