FFT,Size,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
fftw,64³,6174.144033,3.087072,0.0038
fftw,64³,3222.156234,1.611078,0.0073
fftw,64³,2251.016003,1.125508,0.0105
fftw,64³,1712.388379,0.856194,0.0138
fftw,64³,1393.089431,0.696545,0.0169
fftw,64³,1199.707245,0.599854,0.0197
fftw,64³,1059.151979,0.529576,0.0223
fftw,64³,900.692577,0.450346,0.0262
fftw,64³,847.329085,0.423665,0.0278
fftw,64³,758.701053,0.379351,0.0311
fftw,64³,684.267170,0.342134,0.0345
fftw,64³,651.076789,0.325538,0.0362
fftw,64³,590.976967,0.295488,0.0399
fftw,64³,564.484597,0.282242,0.0418
fftw,64³,546.832316,0.273416,0.0431
fftw,64³,488.864581,0.244432,0.0483
fftw,64³,468.041070,0.234021,0.0504
fftw,64³,454.421806,0.227211,0.0519
fftw,64³,447.325522,0.223663,0.0527
fftw,64³,432.557101,0.216279,0.0545
fftw,64³,451.400857,0.225700,0.0523
fftw,64³,427.860671,0.213930,0.0551
fftw,64³,427.763131,0.213882,0.0552
fftw,64³,418.599324,0.209300,0.0564
fftw,64³,414.726164,0.207363,0.0569
fftw,64³,415.848302,0.207924,0.0567
fftw,64³,426.342310,0.213171,0.0553
fftw,64³,428.319910,0.214160,0.0551
fftw,64³,433.030119,0.216515,0.0545
fftw,64³,444.911517,0.222456,0.0530
fftw,64³,444.183569,0.222092,0.0531
fftw,64³,424.134772,0.212067,0.0556
fftw,64³,391.430135,0.195715,0.0603
fftw,64³,391.855755,0.195928,0.0602
fftw,64³,394.047070,0.197024,0.0599
fftw,64³,400.254683,0.200127,0.0589
fftw,64³,395.205555,0.197603,0.0597
fftw,64³,399.377975,0.199689,0.0591
fftw,64³,399.416172,0.199708,0.0591
fftw,64³,404.230707,0.202115,0.0584
