FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
256³,2278.4831,227.8483,8.8360
256³,1160.1637,116.0164,17.3533
256³,808.3953,80.8395,24.9045
256³,656.6690,65.6669,30.6588
256³,537.2426,53.7243,37.4741
256³,470.8346,47.0835,42.7595
256³,409.3538,40.9354,49.1816
256³,408.3570,40.8357,49.3016
256³,337.5951,33.7595,59.6355
256³,320.7041,32.0704,62.7764
256³,319.1166,31.9117,63.0887
256³,286.2616,28.6262,70.3296
256³,276.1568,27.6157,72.9030
256³,262.3799,26.2380,76.7309
256³,261.4458,26.1446,77.0051
256³,283.0535,28.3053,71.1267
256³,279.8355,27.9835,71.9446
256³,250.0754,25.0075,80.5064
256³,241.4592,24.1459,83.3791
256³,231.9269,23.1927,86.8061
256³,244.5639,24.4564,82.3207
256³,244.9589,24.4959,82.1879
256³,258.7756,25.8776,77.7997
256³,242.9139,24.2914,82.8798
256³,245.4556,24.5456,82.0216
256³,249.5409,24.9541,80.6788
256³,259.6212,25.9621,77.5463
256³,253.8718,25.3872,79.3025
256³,265.0513,26.5051,75.9576
256³,267.6836,26.7684,75.2107
256³,267.1348,26.7135,75.3652
256³,331.9271,33.1927,60.6539
256³,426.0571,42.6057,47.2534
256³,312.0240,31.2024,64.5228
256³,308.7482,30.8748,65.2074
256³,303.1750,30.3175,66.4061
256³,351.7641,35.1764,57.2334
256³,328.1579,32.8158,61.3505
256³,349.5421,34.9542,57.5972
256³,354.1473,35.4147,56.8483
