Expm 1: Only FFT
N=65, dim=3, Num: 274625

Printing individual runtimes:
 0: 54.130140ms
 1: 16.696808ms
 2: 16.296897ms
 3: 17.892223ms
 4: 19.421757ms
 5: 16.966360ms
 6: 16.591209ms
 7: 16.172216ms
 8: 17.746758ms
 9: 17.366684ms
 10: 16.914358ms
 11: 16.530494ms
 12: 16.159581ms
 13: 17.712456ms
 14: 17.326328ms
 15: 16.954598ms
 16: 16.605389ms
 17: 8.149886ms
 18: 0.150845ms
 19: 0.157530ms
 20: 0.143940ms
 21: 0.143471ms
 22: 0.154833ms
 23: 0.148062ms
 24: 0.155028ms
 25: 0.144164ms
 26: 0.167789ms
 27: 0.161436ms
 28: 0.164965ms
 29: 0.134492ms
 30: 0.157918ms
 31: 0.165654ms
 32: 3.894197ms
 33: 0.135446ms
 34: 0.150977ms
 35: 0.140235ms
 36: 0.138272ms
 37: 0.149377ms
 38: 0.137703ms
 39: 0.144909ms
 40: 0.135941ms
 41: 0.132716ms
 42: 0.158445ms
 43: 0.142276ms
 44: 0.149753ms
 45: 0.138956ms
 46: 0.151171ms
 47: 0.158579ms
 48: 0.148110ms
 49: 0.140189ms
 50: 0.127907ms
 51: 0.135611ms
 52: 0.145511ms
 53: 0.150426ms
 54: 0.152301ms
 55: 0.141774ms
 56: 0.150726ms
 57: 0.136574ms
 58: 0.154889ms
 59: 0.152751ms
 60: 0.153030ms
 61: 0.151160ms
 62: 0.150567ms
 63: 0.148942ms
 64: 0.155173ms
 65: 0.144833ms
 66: 0.144225ms
 67: 0.138338ms
 68: 0.150259ms
 69: 0.163141ms
 70: 0.150430ms
 71: 0.154949ms
 72: 0.134414ms
 73: 0.131711ms
 74: 0.143734ms
 75: 0.132103ms
 76: 0.161411ms
 77: 0.138536ms
 78: 0.128519ms
 79: 0.165610ms
 80: 0.132546ms
 81: 0.135656ms
 82: 0.138278ms
 83: 0.148822ms
 84: 0.149606ms
 85: 0.143783ms
 86: 0.138034ms
 87: 0.161353ms
 88: 0.143150ms
 89: 0.134159ms
 90: 0.139172ms
 91: 0.147900ms
 92: 0.133647ms
 93: 0.140010ms
 94: 0.139849ms
 95: 0.154271ms
 96: 0.150411ms
 97: 0.154482ms
 98: 0.150370ms
 99: 0.161813ms
 100: 0.143785ms
 101: 0.151077ms
 102: 0.136982ms
 103: 0.140777ms
 104: 0.148636ms
 105: 0.142049ms
 106: 0.138096ms
 107: 0.134837ms
 108: 0.139673ms
 109: 0.135264ms
 110: 0.140556ms
 111: 0.151334ms
 112: 0.137435ms
 113: 0.134803ms
 114: 0.136761ms
 115: 0.139149ms
 116: 0.150017ms
 117: 0.138141ms
 118: 0.145072ms
 119: 0.136087ms
 120: 0.130935ms
 121: 0.148556ms
 122: 0.140956ms
 123: 0.135835ms
 124: 0.134746ms
 125: 0.145496ms
 126: 0.124721ms
 127: 0.149415ms
 128: 0.133981ms
 129: 0.147536ms
 130: 0.133500ms
 131: 0.135284ms
 132: 0.144371ms
 133: 0.130787ms
 134: 0.151847ms
 135: 0.143911ms
 136: 0.133975ms
 137: 0.137291ms
 138: 0.133716ms
 139: 0.135240ms
 140: 0.138692ms
 141: 0.137985ms
 142: 0.144342ms
 143: 0.153087ms
 144: 0.155064ms
 145: 0.138636ms
 146: 0.149685ms
 147: 0.156090ms
 148: 0.149190ms
 149: 0.133716ms
 150: 0.138943ms
 151: 0.141581ms
 152: 0.149452ms
 153: 0.129129ms
 154: 0.135671ms
 155: 0.126725ms
 156: 0.144295ms
 157: 0.145067ms
 158: 0.135147ms
 159: 0.147093ms
 160: 0.132628ms
 161: 0.131369ms
 162: 0.134194ms
 163: 0.152229ms
 164: 0.151896ms
 165: 0.148852ms
 166: 0.155597ms
 167: 0.131817ms
 168: 0.125100ms
 169: 0.147743ms
 170: 0.137664ms
 171: 0.154769ms
 172: 0.151911ms
 173: 0.133598ms
 174: 0.131234ms
 175: 0.133509ms
 176: 0.134917ms
 177: 0.139928ms
 178: 0.131913ms
 179: 0.131588ms
 180: 0.141182ms
 181: 0.142625ms
 182: 0.157901ms
 183: 0.139695ms
 184: 0.136977ms
 185: 0.151050ms
 186: 0.126192ms
 187: 0.134170ms
 188: 0.150278ms
 189: 0.132152ms
 190: 0.148216ms
 191: 0.142282ms
 192: 0.139869ms
 193: 0.138502ms
 194: 0.130889ms
 195: 0.143440ms
 196: 0.156294ms
 197: 0.130785ms
 198: 0.127298ms
 199: 0.148561ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 65^3
Threads             : 36
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 1.827357 ms
Runtime per batch   : 1.827357 ms
SD                  : 5.927935 ms
Q1                  : 0.135941 ms
Median              : 0.144038 ms
Q3                  : 0.151847 ms
