Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 7.431327ms
 1: 0.146286ms
 2: 0.135001ms
 3: 0.133258ms
 4: 0.138113ms
 5: 0.136199ms
 6: 0.133291ms
 7: 0.133991ms
 8: 0.132611ms
 9: 0.134646ms
 10: 0.134637ms
 11: 0.134861ms
 12: 0.135547ms
 13: 0.141190ms
 14: 0.137780ms
 15: 0.138060ms
 16: 0.136740ms
 17: 0.140560ms
 18: 0.132968ms
 19: 0.132516ms
 20: 0.141962ms
 21: 0.136493ms
 22: 0.137609ms
 23: 0.148443ms
 24: 0.134749ms
 25: 0.137711ms
 26: 0.132271ms
 27: 0.135488ms
 28: 0.133866ms
 29: 0.137432ms
 30: 0.137945ms
 31: 0.142400ms
 32: 0.132359ms
 33: 0.130799ms
 34: 0.132736ms
 35: 0.132716ms
 36: 0.139218ms
 37: 0.138745ms
 38: 0.137235ms
 39: 0.135824ms
 40: 0.139466ms
 41: 0.132725ms
 42: 0.132686ms
 43: 0.135599ms
 44: 0.132808ms
 45: 0.145366ms
 46: 0.139078ms
 47: 0.155812ms
 48: 0.150653ms
 49: 0.142103ms
 50: 0.147576ms
 51: 0.133071ms
 52: 0.143659ms
 53: 0.141966ms
 54: 0.144133ms
 55: 0.158399ms
 56: 0.158305ms
 57: 0.151817ms
 58: 0.143404ms
 59: 0.145799ms
 60: 0.150717ms
 61: 0.139549ms
 62: 0.143265ms
 63: 0.149074ms
 64: 0.158847ms
 65: 0.149701ms
 66: 0.151257ms
 67: 0.141888ms
 68: 0.144739ms
 69: 0.148840ms
 70: 0.154928ms
 71: 0.141910ms
 72: 0.144761ms
 73: 0.143269ms
 74: 0.164391ms
 75: 0.148476ms
 76: 0.147637ms
 77: 0.144605ms
 78: 0.142999ms
 79: 0.153720ms
 80: 0.144055ms
 81: 0.144526ms
 82: 0.148451ms
 83: 0.146399ms
 84: 0.142115ms
 85: 0.148054ms
 86: 0.137335ms
 87: 0.156219ms
 88: 0.154239ms
 89: 0.161947ms
 90: 1.415315ms
 91: 0.141486ms
 92: 0.142762ms
 93: 0.154164ms
 94: 0.141829ms
 95: 0.150722ms
 96: 0.146549ms
 97: 0.142830ms
 98: 0.141419ms
 99: 0.150604ms
 100: 0.139279ms
 101: 0.140605ms
 102: 0.139299ms
 103: 0.148072ms
 104: 0.144988ms
 105: 0.142869ms
 106: 0.145446ms
 107: 0.140492ms
 108: 0.141185ms
 109: 0.147650ms
 110: 0.140215ms
 111: 0.140167ms
 112: 0.156123ms
 113: 0.144997ms
 114: 0.166206ms
 115: 0.171754ms
 116: 0.161320ms
 117: 0.148066ms
 118: 0.157774ms
 119: 0.152356ms
 120: 0.138524ms
 121: 0.152436ms
 122: 0.151709ms
 123: 0.146345ms
 124: 0.162037ms
 125: 0.153708ms
 126: 0.147466ms
 127: 0.144727ms
 128: 0.152096ms
 129: 0.145209ms
 130: 0.164313ms
 131: 0.153543ms
 132: 0.153774ms
 133: 0.149864ms
 134: 0.165196ms
 135: 0.144465ms
 136: 0.155641ms
 137: 0.151802ms
 138: 0.153290ms
 139: 0.149064ms
 140: 0.147414ms
 141: 0.145907ms
 142: 0.141962ms
 143: 0.156565ms
 144: 0.152626ms
 145: 0.137911ms
 146: 0.166912ms
 147: 0.144523ms
 148: 0.160205ms
 149: 0.149946ms
 150: 0.150138ms
 151: 0.156527ms
 152: 0.150802ms
 153: 0.152504ms
 154: 0.151906ms
 155: 0.160197ms
 156: 0.160405ms
 157: 0.144334ms
 158: 0.157308ms
 159: 0.137783ms
 160: 0.150358ms
 161: 0.142866ms
 162: 0.140831ms
 163: 0.154490ms
 164: 0.150186ms
 165: 0.146450ms
 166: 0.163657ms
 167: 0.143262ms
 168: 0.155315ms
 169: 0.146701ms
 170: 0.149836ms
 171: 0.158028ms
 172: 0.157759ms
 173: 0.142376ms
 174: 0.167215ms
 175: 0.161539ms
 176: 0.152517ms
 177: 0.159373ms
 178: 0.144038ms
 179: 0.143737ms
 180: 0.171325ms
 181: 0.144253ms
 182: 0.151777ms
 183: 0.159481ms
 184: 0.154674ms
 185: 0.162172ms
 186: 0.154829ms
 187: 0.143562ms
 188: 0.146772ms
 189: 0.157465ms
 190: 0.154846ms
 191: 0.154852ms
 192: 0.169348ms
 193: 0.144237ms
 194: 0.147913ms
 195: 0.157917ms
 196: 0.151902ms
 197: 0.161617ms
 198: 0.142418ms
 199: 0.170681ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 19
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.189841 ms
Runtime per batch   : 0.189841 ms
SD                  : 0.521152 ms
Q1                  : 0.140215 ms
Median              : 0.145262 ms
Q3                  : 0.153708 ms
