Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 58.796335ms
 1: 36.054522ms
 2: 27.559761ms
 3: 26.348179ms
 4: 16.455074ms
 5: 19.638184ms
 6: 17.017260ms
 7: 17.618771ms
 8: 16.133757ms
 9: 16.644980ms
 10: 17.196551ms
 11: 17.732997ms
 12: 16.268309ms
 13: 16.435379ms
 14: 0.150385ms
 15: 0.159877ms
 16: 0.157337ms
 17: 0.151624ms
 18: 0.153250ms
 19: 0.158522ms
 20: 0.151817ms
 21: 0.158559ms
 22: 0.148405ms
 23: 0.156569ms
 24: 0.157465ms
 25: 0.149749ms
 26: 0.159757ms
 27: 0.151072ms
 28: 0.140447ms
 29: 0.158701ms
 30: 0.140330ms
 31: 0.156630ms
 32: 0.156641ms
 33: 0.159239ms
 34: 0.147550ms
 35: 0.157249ms
 36: 0.155560ms
 37: 0.157471ms
 38: 0.153222ms
 39: 0.152982ms
 40: 2.953396ms
 41: 0.129877ms
 42: 0.141776ms
 43: 0.151290ms
 44: 0.141012ms
 45: 0.125880ms
 46: 0.147715ms
 47: 0.140084ms
 48: 0.131221ms
 49: 0.134484ms
 50: 0.136315ms
 51: 0.127493ms
 52: 0.123967ms
 53: 0.142179ms
 54: 0.129105ms
 55: 0.142372ms
 56: 0.148808ms
 57: 0.134341ms
 58: 0.135879ms
 59: 0.140682ms
 60: 0.143130ms
 61: 0.152680ms
 62: 0.133996ms
 63: 0.145301ms
 64: 0.126475ms
 65: 0.132834ms
 66: 0.141767ms
 67: 0.142773ms
 68: 0.126552ms
 69: 0.143718ms
 70: 0.120331ms
 71: 0.144664ms
 72: 0.151358ms
 73: 0.143152ms
 74: 0.138422ms
 75: 0.126535ms
 76: 0.152124ms
 77: 0.139868ms
 78: 0.144482ms
 79: 0.134154ms
 80: 0.141203ms
 81: 0.144346ms
 82: 0.139401ms
 83: 0.126982ms
 84: 0.150359ms
 85: 0.140358ms
 86: 0.126252ms
 87: 0.148922ms
 88: 0.141300ms
 89: 0.128952ms
 90: 0.123502ms
 91: 0.124674ms
 92: 0.129698ms
 93: 0.146333ms
 94: 0.121596ms
 95: 0.142046ms
 96: 0.140820ms
 97: 0.146231ms
 98: 0.141486ms
 99: 0.131274ms
 100: 0.139220ms
 101: 0.154667ms
 102: 0.125940ms
 103: 0.150700ms
 104: 0.141676ms
 105: 0.142262ms
 106: 0.151919ms
 107: 0.143379ms
 108: 0.125243ms
 109: 0.145965ms
 110: 0.137322ms
 111: 0.126739ms
 112: 0.126834ms
 113: 0.147295ms
 114: 0.139048ms
 115: 0.125054ms
 116: 0.150322ms
 117: 0.142324ms
 118: 0.122617ms
 119: 0.131680ms
 120: 0.133261ms
 121: 0.131464ms
 122: 0.147179ms
 123: 0.138026ms
 124: 0.152195ms
 125: 0.142455ms
 126: 0.124368ms
 127: 0.144357ms
 128: 0.133360ms
 129: 0.136580ms
 130: 0.122462ms
 131: 0.131325ms
 132: 0.144898ms
 133: 0.150654ms
 134: 0.143303ms
 135: 0.128912ms
 136: 0.139735ms
 137: 0.132795ms
 138: 0.131825ms
 139: 0.145525ms
 140: 0.129935ms
 141: 0.126797ms
 142: 0.128407ms
 143: 0.127377ms
 144: 0.140430ms
 145: 0.144182ms
 146: 0.127423ms
 147: 0.125305ms
 148: 0.143140ms
 149: 0.124411ms
 150: 0.129836ms
 151: 0.131071ms
 152: 0.140240ms
 153: 0.139737ms
 154: 0.146023ms
 155: 0.144742ms
 156: 0.127678ms
 157: 0.120679ms
 158: 0.141954ms
 159: 0.128900ms
 160: 0.122028ms
 161: 0.138294ms
 162: 0.141370ms
 163: 0.144916ms
 164: 0.128046ms
 165: 0.140672ms
 166: 0.139846ms
 167: 0.142939ms
 168: 0.141072ms
 169: 0.150091ms
 170: 0.150199ms
 171: 0.146932ms
 172: 0.144799ms
 173: 0.127928ms
 174: 0.130122ms
 175: 0.139785ms
 176: 0.125471ms
 177: 0.138456ms
 178: 0.141759ms
 179: 0.140348ms
 180: 0.140437ms
 181: 0.144388ms
 182: 0.141561ms
 183: 0.125150ms
 184: 0.145328ms
 185: 0.127311ms
 186: 0.129045ms
 187: 0.147255ms
 188: 0.141378ms
 189: 0.137846ms
 190: 0.123824ms
 191: 0.130731ms
 192: 0.141081ms
 193: 0.139775ms
 194: 0.149459ms
 195: 0.124584ms
 196: 0.142756ms
 197: 0.125960ms
 198: 0.136836ms
 199: 0.138276ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 40
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 1.743398 ms
Runtime per batch   : 1.743398 ms
SD                  : 6.539845 ms
Q1                  : 0.131221 ms
Median              : 0.141374 ms
Q3                  : 0.149459 ms
