Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 2.643803ms
 1: 0.122163ms
 2: 0.128639ms
 3: 0.134681ms
 4: 0.141385ms
 5: 0.132028ms
 6: 0.139914ms
 7: 0.121140ms
 8: 0.126540ms
 9: 0.131506ms
 10: 0.139163ms
 11: 0.121657ms
 12: 0.137938ms
 13: 0.123241ms
 14: 0.123391ms
 15: 0.124192ms
 16: 0.122907ms
 17: 0.113129ms
 18: 0.139412ms
 19: 0.141102ms
 20: 0.127138ms
 21: 0.130990ms
 22: 0.120915ms
 23: 0.135348ms
 24: 0.120223ms
 25: 0.128265ms
 26: 0.120446ms
 27: 0.121065ms
 28: 0.136080ms
 29: 0.120944ms
 30: 0.111143ms
 31: 0.118801ms
 32: 0.121445ms
 33: 0.124838ms
 34: 0.118244ms
 35: 0.128514ms
 36: 0.130890ms
 37: 0.123340ms
 38: 0.135222ms
 39: 0.125574ms
 40: 0.126594ms
 41: 0.133571ms
 42: 0.136799ms
 43: 0.132834ms
 44: 0.122278ms
 45: 0.138690ms
 46: 0.131094ms
 47: 0.126598ms
 48: 0.123690ms
 49: 0.125061ms
 50: 0.128453ms
 51: 0.123535ms
 52: 0.121171ms
 53: 0.130766ms
 54: 0.132693ms
 55: 0.120439ms
 56: 0.134263ms
 57: 0.122400ms
 58: 0.131811ms
 59: 0.109662ms
 60: 0.125445ms
 61: 0.122111ms
 62: 0.122917ms
 63: 0.124760ms
 64: 0.134676ms
 65: 0.123988ms
 66: 0.123272ms
 67: 0.135483ms
 68: 0.121587ms
 69: 0.119969ms
 70: 0.140846ms
 71: 0.122766ms
 72: 0.134937ms
 73: 0.125066ms
 74: 0.122985ms
 75: 0.121647ms
 76: 0.121899ms
 77: 0.121661ms
 78: 0.131941ms
 79: 0.122354ms
 80: 0.132064ms
 81: 0.127456ms
 82: 0.114460ms
 83: 0.121623ms
 84: 0.121107ms
 85: 0.113948ms
 86: 0.136025ms
 87: 0.120541ms
 88: 0.119779ms
 89: 0.116807ms
 90: 0.119301ms
 91: 0.453545ms
 92: 0.121371ms
 93: 0.122072ms
 94: 0.119541ms
 95: 0.122670ms
 96: 0.120140ms
 97: 0.123536ms
 98: 0.133332ms
 99: 0.124767ms
 100: 0.121157ms
 101: 0.132383ms
 102: 0.121922ms
 103: 0.142542ms
 104: 0.120272ms
 105: 0.124255ms
 106: 0.125928ms
 107: 0.121847ms
 108: 0.122091ms
 109: 0.124830ms
 110: 0.119291ms
 111: 0.130568ms
 112: 0.119748ms
 113: 0.123876ms
 114: 0.118554ms
 115: 0.121505ms
 116: 0.122190ms
 117: 0.120485ms
 118: 0.138130ms
 119: 0.137429ms
 120: 0.134083ms
 121: 0.131380ms
 122: 0.119946ms
 123: 0.120837ms
 124: 0.119646ms
 125: 0.138091ms
 126: 0.128419ms
 127: 0.131082ms
 128: 0.123771ms
 129: 0.121092ms
 130: 0.123768ms
 131: 0.131308ms
 132: 0.124851ms
 133: 0.120668ms
 134: 0.137789ms
 135: 0.122106ms
 136: 0.132212ms
 137: 0.122573ms
 138: 0.118374ms
 139: 0.130706ms
 140: 0.124002ms
 141: 0.121042ms
 142: 0.143704ms
 143: 0.122552ms
 144: 0.111097ms
 145: 0.122266ms
 146: 0.122570ms
 147: 0.133850ms
 148: 0.121091ms
 149: 0.122783ms
 150: 0.119708ms
 151: 0.137199ms
 152: 0.121056ms
 153: 0.135379ms
 154: 0.120522ms
 155: 0.123324ms
 156: 0.120605ms
 157: 0.126322ms
 158: 0.131716ms
 159: 0.119306ms
 160: 0.139391ms
 161: 0.127874ms
 162: 0.130883ms
 163: 0.121910ms
 164: 0.123811ms
 165: 0.119837ms
 166: 0.120171ms
 167: 0.125628ms
 168: 0.120412ms
 169: 0.120701ms
 170: 0.121391ms
 171: 0.123010ms
 172: 0.129103ms
 173: 0.123992ms
 174: 0.119747ms
 175: 0.134258ms
 176: 0.123358ms
 177: 0.145538ms
 178: 0.125049ms
 179: 0.120427ms
 180: 0.138050ms
 181: 0.122743ms
 182: 0.125218ms
 183: 0.121458ms
 184: 0.120241ms
 185: 0.140035ms
 186: 0.122819ms
 187: 0.126490ms
 188: 0.144485ms
 189: 0.120358ms
 190: 0.124061ms
 191: 0.127137ms
 192: 0.123263ms
 193: 0.141749ms
 194: 0.142204ms
 195: 0.122858ms
 196: 0.121342ms
 197: 0.123021ms
 198: 0.112226ms
 199: 0.122020ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 37
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.140321 ms
Runtime per batch   : 0.140321 ms
SD                  : 0.179106 ms
Q1                  : 0.121140 ms
Median              : 0.123535 ms
Q3                  : 0.131308 ms
