Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 2.625212ms
 1: 0.149737ms
 2: 0.153759ms
 3: 0.155742ms
 4: 0.152906ms
 5: 0.153610ms
 6: 0.152365ms
 7: 0.153130ms
 8: 0.160708ms
 9: 0.144381ms
 10: 0.159123ms
 11: 0.156209ms
 12: 0.153219ms
 13: 0.158069ms
 14: 0.157572ms
 15: 0.163622ms
 16: 0.153708ms
 17: 0.154368ms
 18: 0.148160ms
 19: 0.142068ms
 20: 0.154751ms
 21: 0.162187ms
 22: 0.156193ms
 23: 0.134134ms
 24: 0.146089ms
 25: 0.156767ms
 26: 0.147982ms
 27: 0.158036ms
 28: 0.159083ms
 29: 0.150695ms
 30: 0.163717ms
 31: 0.131844ms
 32: 0.139721ms
 33: 0.151677ms
 34: 0.132739ms
 35: 0.152289ms
 36: 0.159831ms
 37: 0.159072ms
 38: 0.154698ms
 39: 0.152718ms
 40: 0.161442ms
 41: 0.149356ms
 42: 0.155485ms
 43: 0.161508ms
 44: 0.154894ms
 45: 0.156651ms
 46: 0.161241ms
 47: 0.143537ms
 48: 0.156241ms
 49: 0.154579ms
 50: 0.157240ms
 51: 0.146026ms
 52: 0.151607ms
 53: 0.158930ms
 54: 0.151366ms
 55: 0.141003ms
 56: 0.148521ms
 57: 0.145317ms
 58: 0.151022ms
 59: 0.150680ms
 60: 0.156551ms
 61: 0.148860ms
 62: 0.138014ms
 63: 0.161582ms
 64: 0.150774ms
 65: 0.143049ms
 66: 0.154519ms
 67: 0.153749ms
 68: 0.144610ms
 69: 0.160196ms
 70: 0.155866ms
 71: 0.155998ms
 72: 0.144156ms
 73: 0.154295ms
 74: 0.129438ms
 75: 0.156493ms
 76: 0.151768ms
 77: 0.157125ms
 78: 0.156507ms
 79: 0.149077ms
 80: 0.150595ms
 81: 0.146865ms
 82: 0.158924ms
 83: 0.158464ms
 84: 0.140636ms
 85: 0.151947ms
 86: 0.158406ms
 87: 0.160482ms
 88: 0.135852ms
 89: 0.140823ms
 90: 0.147709ms
 91: 0.624881ms
 92: 0.142035ms
 93: 0.151974ms
 94: 0.146939ms
 95: 0.150834ms
 96: 0.156902ms
 97: 0.145306ms
 98: 0.154340ms
 99: 0.153191ms
 100: 0.141663ms
 101: 0.126653ms
 102: 0.145152ms
 103: 0.150265ms
 104: 0.129683ms
 105: 0.151527ms
 106: 0.142516ms
 107: 0.160584ms
 108: 0.131836ms
 109: 0.152569ms
 110: 0.147106ms
 111: 0.151801ms
 112: 0.147657ms
 113: 0.149047ms
 114: 0.154526ms
 115: 0.136906ms
 116: 0.154616ms
 117: 0.142460ms
 118: 0.149597ms
 119: 0.148016ms
 120: 0.155308ms
 121: 0.149116ms
 122: 0.154972ms
 123: 0.155581ms
 124: 0.151353ms
 125: 0.150022ms
 126: 0.155438ms
 127: 0.132691ms
 128: 0.139480ms
 129: 0.148988ms
 130: 0.152237ms
 131: 0.144239ms
 132: 0.142748ms
 133: 0.149572ms
 134: 0.153950ms
 135: 0.141974ms
 136: 0.155861ms
 137: 0.143335ms
 138: 0.151094ms
 139: 0.145909ms
 140: 0.128273ms
 141: 0.135145ms
 142: 0.151940ms
 143: 0.154573ms
 144: 0.150384ms
 145: 0.147135ms
 146: 0.149033ms
 147: 0.147621ms
 148: 0.148162ms
 149: 0.156392ms
 150: 0.149070ms
 151: 0.150608ms
 152: 0.153028ms
 153: 0.153750ms
 154: 0.130206ms
 155: 0.145248ms
 156: 0.154812ms
 157: 0.136242ms
 158: 0.147119ms
 159: 0.151436ms
 160: 0.157473ms
 161: 0.147860ms
 162: 0.145658ms
 163: 0.143704ms
 164: 0.149506ms
 165: 0.152817ms
 166: 0.144331ms
 167: 0.143791ms
 168: 0.153401ms
 169: 0.143275ms
 170: 0.144489ms
 171: 0.137240ms
 172: 0.151382ms
 173: 0.145062ms
 174: 0.143764ms
 175: 0.135526ms
 176: 0.150097ms
 177: 0.140506ms
 178: 0.147153ms
 179: 0.154724ms
 180: 0.145983ms
 181: 0.149008ms
 182: 0.141627ms
 183: 0.137826ms
 184: 0.144757ms
 185: 0.145050ms
 186: 0.138285ms
 187: 0.149235ms
 188: 0.135875ms
 189: 0.147618ms
 190: 0.150768ms
 191: 0.151415ms
 192: 0.147928ms
 193: 0.138533ms
 194: 0.144903ms
 195: 0.153780ms
 196: 0.136692ms
 197: 0.153880ms
 198: 0.149189ms
 199: 0.156823ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 37
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.164037 ms
Runtime per batch   : 0.164037 ms
SD                  : 0.177824 ms
Q1                  : 0.144610 ms
Median              : 0.150637 ms
Q3                  : 0.154724 ms
